source,category,title,link,text,image source,image alt text,date posted,username,hashtags,number of likes,number of comments,number of views,standardized_date,AUT_LABEL,DEM_LABEL,WEST_LABEL,FOCAL_COUNTRY,sample_from,label_value,Google_Trans,Label_value Correct?,Focal Country Correct?,notes,Discuss
t.me/ng_ru,RF_Media,Независимая газета,https://t.me/ng_ru/77165?embed=1,ШОС предоставила талибам время исправиться,nan,nan,2021-07-15T04:45:04+00:00,ng_ru,nan,nan,nan,168,2021-07-15 4:45:04,Authoritarian - Alliances,No Category,No Category,Russia,AUT_LABEL,Authoritarian - Alliances,The SCO has given the Taliban time to correct their mistakes.,Y,Y,,
t.me/RusEmbLT,RF_Diplomats,Посольство России в Литве ✔,https://t.me/RusEmbLT/1097?embed=1,"🎙Выступление Постоянного представителя В.А.Небензи при голосовании по российскому проекту резолюции Совета Безопасности ООН о неразмещении оружия в космосе📖Читать полностью🎦Видео выступления🎬Трансляция всего заседанияПеред голосованием:24 апреля в этом зале США, Япония и их союзники так и не смогли объяснить, какова «добавленная стоимость» их проекта резолюции по неразмещению ОМУ в космосе, подтверждающего обязательства, и так возникающие у всех подписантов Договора о космосе 1967 года. Не смогли они вразумительно аргументировать и свой отказ включить в проект предложенные нами положения по предотвращению гонки вооружений в космосе, придававшие документу хоть какой-то смысл. ❗️Голосование выявило единственную подоплёку западной инициативы: постараться выставить Россию в невыгодном свете и безосновательно приписать нам планы и действия, которых у нас нет. Эта ситуация стала большим ударом по международным усилиям, направленным на то, чтобы сохранить космос мирным.Однако, поскольку предотвращение гонки вооружений в космосе и сохранение космического пространства для исключительно мирных целей является для нас абсолютным императивом, мы решили дать нашим западным коллегам еще один шанс не на словах, а на деле доказать мирный характер своих намерений. Для этого мы подготовили альтернативный проект резолюции Совета Безопасности, который, в отличие от явно политизированного американо-японского, позволит гарантировать исключительно мирное исследование и использование космоса.<…>Проект резолюции имеет чрезвычайное значение в контексте тех вызовов, с которыми мы сталкиваемся в космосе. Принятие данного проекта резолюции позволит подтвердить наше коллективное обязательство сохранить мирную природу космического пространства, а также внести существенный вклад в деле укрепления международного мира и безопасности. Сегодняшнее голосование – это своего рода «момент истины» для наших западных коллег. Если они его не поддержат, то со всей очевидностью распишутся в том, что их основной задачей остается сохранение «свободы собственных рук» для ускоренной милитаризации космоса. Это будет особенно очевидным с учётом того, что все продвигающиеся США и Японией положения о неразмещении ОМУ в космосе, включая ядерное оружие, в нашем проекте сохранены без каких-либо изменений.👉Призываем всех ответственных участников космической деятельности поддержать наш проект.По мотивам голосования:Вызывает глубокое сожаление, что западные члены СБ сегодня не дали Совету Безопасности ООН принять взвешенное и столь востребованное сейчас решение в пользу сохранения космоса исключительно для мирного использования. Таким образом, сегодня они окончательно сбросили с себя маски, саморазоблачились и предстали перед нами теми, кем они являются на самом деле.Буквально в прошлом месяце США и их союзники со всем присущим им цинизмом буквально «били себя в грудь», громко заверяя всех в своей приверженности мирному космосу. Сегодня, после того как они подтвердили свои реальные намерения продолжать милитаризировать космос и создавать соответствующее вооружение, особенно цинично и лицемерно выглядят их попытки оправдать свои действия якобы неконсенсусным характером нашего проекта.<…>Cегодняшнее голосование – это поражение для всех тех, кто, как и Россия, пытается избежать распространения конфронтации на околоземную орбиту. Разумеется, сложившаяся ситуация потребует анализа и ответных шагов с нашей стороны. ☝️При этом Россия останется приверженной своим обязательствам в космическом пространстве в соответствии с международным правом.",nan,nan,2024-05-21T04:56:01+00:00,RusEmbLT,nan,nan,nan,268,2024-05-21 4:56:01,Authoritarian - Alliances,No Category,Hostile Global Order,Russia,AUT_LABEL,Authoritarian - Alliances,"🎙Remarks by Permanent Representative V.A. Nebenzya during the vote on the Russian draft UN Security Council resolution on the non-deployment of weapons in outer space📖Read in full🎦Video of the speech🎬Broadcast of the entire meetingBefore the vote: On April 24, in this hall, the United States, Japan, and their allies were unable to explain the ""added value"" of their draft resolution on the non-deployment of WMD in outer space, which reaffirms the obligations that all signatories of the 1967 Outer Space Treaty already have. They also failed to clearly justify their refusal to include in the draft the provisions we proposed on preventing an arms race in space, which would have given the document any meaning. ❗️The vote revealed the only underlying motive behind the Western initiative: to paint Russia in an unfavorable light and groundlessly attribute to us plans and actions that we do not have. This situation has dealt a major blow to international efforts to preserve the peaceful nature of outer space. However, since preventing an arms race in outer space and preserving outer space for exclusively peaceful purposes is an absolute imperative for us, we have decided to give our Western colleagues another chance to demonstrate the peaceful nature of their intentions, not just in words but in deeds. To this end, we have prepared an alternative draft Security Council resolution that, unlike the overtly politicized US-Japanese one, will guarantee the exclusively peaceful exploration and use of outer space. <…>The draft resolution is of paramount importance in the context of the challenges we face in space. Adoption of this draft resolution will reaffirm our collective commitment to preserving the peaceful nature of outer space and will also make a significant contribution to strengthening international peace and security. Today's vote is a ""moment of truth"" of sorts for our Western colleagues. If they do not support it, they will clearly demonstrate that their primary goal remains maintaining ""freedom of action"" for the accelerated militarization of space. This will be especially obvious given that all provisions promoted by the US and Japan regarding the non-deployment of WMD in space, including nuclear weapons, have been retained in our draft without any changes. 👉We call on all responsible participants in space activities to support our draft. Explanation of vote: It is deeply regrettable that the Western members of the Security Council today prevented the UN Security Council from making a balanced and much-needed decision in favor of preserving outer space exclusively for peaceful use. Thus, today they have finally thrown off their masks, exposed themselves, and revealed themselves to us for who they really are. Just last month, the US and its allies, with all their characteristic cynicism, literally ""beat their chests,"" loudly assuring everyone of their commitment to peaceful space. Today, after they confirmed their real intentions to continue militarizing space and developing corresponding weapons, their attempts to justify their actions by the supposedly non-consensual nature of our project appear particularly cynical and hypocritical. <…>Today's vote is a defeat for all those who, like Russia, are trying to avoid the spread of confrontation to near-Earth orbit. Naturally, the current situation will require analysis and retaliatory steps on our part. ☝️At the same time, Russia will remain committed to its obligations in outer space in accordance with international law.",N,Y,,
instagram.com/russian_embassy_riyadh,RF_Diplomats,nan,https://www.instagram.com/p/post/471555505979451/,🇷🇺🇸🇦 9 сентября состоялась встреча Наследного принца Саудовской Аравии М.Бен Сальмана с Председателем Комитета Государственной Думы Федерального Собрания Российской Федерации по международным делам Л.Э.Слуцким,nan,photo,2021-09-10T11:46:05+00:00,russian_embassy_riyadh,nan,70,2,nan,2021-09-10 11:46:05,Authoritarian - Alliances,No Category,No Category,Russia,AUT_LABEL,Authoritarian - Alliances,"🇷🇺🇸🇦 On September 9, a meeting was held between the Crown Prince of Saudi Arabia M. bin Salman and the Chairman of the Committee on International Affairs of the State Duma of the Federal Assembly of the Russian Federation L.E. Slutsky",Y,Y,,
t.me/Russian_Embassy_in_Philippines,RF_Diplomats,Russian Embassy in the Philippines,https://t.me/Russian_Embassy_in_Philippines/2340?embed=1,"🗓 On October 9-10, the 5th Meeting of Network of ASEAN-Russia Think Tanks (#NARTT) was hosted by Russian MGIMO University 🇷🇺 in Moscow.🔹️This year the meeting was devoted to the 5th Anniversary of the ASEAN-Russia Strategic Partnership. The discussion was focused on 4 spheres of our cooperation: digital economy, political and security dimension, energy cooperation and ties between sister-cities of Russia and ASEAN.🔹️A number of prominent experts from #ASEAN Member States and Russia took part in the event. Ambassador of the Russian Federation to ASEAN H.E. Mr. Evgeny Zagaynov addressed the meeting with his welcoming remarks.🔹️Recommendations of the NARTT will be reported to ASEAN-Russia Senior Officials' Meeting.#RussiaASEAN",https://cdn5.cdn-telegram.org/file/UyM_GKqBI3vjeu2WFTdw_aIKk2N1uLFz-0TZLpB_z2E5pL4_NSbJTM6KmIsYaRrVALvWmYA1YpSZKeVPCoC7yLWqrVNfcWmsAilDnIvPrLHMNRtQkGMOD4XBGdpDSHi_QELBOQmZFR_-xHYm3clN2AxMPA_K0I4AzQfyaYEW7IjCIGMlrevoctGPgA3jn6FiJe-vSgr4KswO0rXWhDQUaKY8NvUsGpa_-zHJth5ZfU1e2m6DeT1-XNof6ow-i4jaLvYjDfzgmA6ZuYHVAdiT1M0-NJffloa7XaYt0IyfWN_vAGWK8x8TSGBwa1FAD_4HLQ12zsCBFDnzc081Vltg0w.jpg,nan,2023-10-10T12:39:19+00:00,Russian_Embassy_in_Philippines,nan,nan,nan,176,2023-10-10 12:39:19,Authoritarian - Alliances,No Category,No Category,Russia,AUT_LABEL,Authoritarian - Alliances,"🗓 On October 9-10, the 5th Meeting of Network of ASEAN-Russia Think Tanks (#NARTT) was hosted by Russian MGIMO University 🇷🇺 in Moscow.🔹️This year the meeting was devoted to the 5th Anniversary of the ASEAN-Russia Strategic Partnership. The discussion was focused on 4 spheres of our cooperation: digital economy, political and security dimension, energy cooperation and ties between sister-cities of Russia and ASEAN.🔹️A number of prominent experts from #ASEAN Member States and Russia took part in the event. Ambassador of the Russian Federation to ASEAN H.E. Mr. Evgeny Zagaynov addressed the meeting with his welcoming remarks.🔹️Recommendations of the NARTT will be reported to ASEAN-Russia Senior Officials' Meeting.#RussiaASEAN",Y,Y,,
facebook.com/RussianEmbassy,RF_Diplomats,nan,https://www.facebook.com/post/671120992491096/,"📢 On July 13-14, #ASEANRussia, the East Asia Summit and ASEAN Regional Forum Foreign Ministers' Meetings will take place in Jakarta, Indonesia 🇮🇩. FM Sergey Lavrov will head the Russian delegation 🇷🇺.

🤝 Russia supports Indonesia in its capacity of the ASEAN Chair this year and praises its highly dynamic and effective Chairmanship aimed at making ASEAN the ""epicentrum of growth"".

🔹 This year marks the 5th Anniversary of the Strategic Partnership between ASEAN and Russia which covers a wide range of areas. Fostering relations with ASEAN is our strategic goal. 

💬 Ambassador of Russia to ASEAN Evgeny Zagaynov: ""Indonesia was at the origins of ASEAN and was one of the major driving forces of its development for more than 5 decades. To be in Indonesia during its Chairmanship in ASEAN is like being in “the epicentrum of the epicentrum”. Indonesia’s role in the region, its vast diplomatic experience coupled with well-known hospitality largely contribute to its highly dynamic Chairmanship.""

#RussiaASEAN #EAS #ARF",nan,photo,2023-07-12T16:18:15+00:00,RussianEmbassy,nan,25,2,565,2023-07-12 16:18:15,Authoritarian - Alliances,No Category,No Category,Russia,AUT_LABEL,Authoritarian - Alliances,"📢 On July 13-14, #ASEANRussia, the East Asia Summit and ASEAN Regional Forum Foreign Ministers' Meetings will take place in Jakarta, Indonesia 🇮🇩. FM Sergey Lavrov will head the Russian delegation 🇷🇺.

🤝 Russia supports Indonesia in its capacity of the ASEAN Chair this year and praises its highly dynamic and effective Chairmanship aimed at making ASEAN the ""epicentrum of growth"".

🔹 This year marks the 5th Anniversary of the Strategic Partnership between ASEAN and Russia which covers a wide range of areas. Fostering relations with ASEAN is our strategic goal. 

💬 Ambassador of Russia to ASEAN Evgeny Zagaynov: ""Indonesia was at the origins of ASEAN and was one of the major driving forces of its development for more than 5 decades. To be in Indonesia during its Chairmanship in ASEAN is like being in “the epicentrum of the epicentrum”. Indonesia’s role in the region, its vast diplomatic experience coupled with well-known hospitality largely contribute to its highly dynamic Chairmanship.""

#RussiaASEAN #EAS #ARF",Y,Y,,
t.me/rgrunews,RF_Media,Российская Газета | Новости ✔,https://t.me/rgrunews/75628?embed=1,"Несколько актуальных новостей к этому часу:▫️Россия ответит на дерзкий и самонадеянный террористический выпад Украины, когда сочтет необходимым. Об этом заявил посол РФ в США Анатолий Антонов;▫️Замглавы МИД РФ Михаил Галузин предупредил Киев и его западных кураторов о печальных последствиях анонсированного контрнаступления;▫️Глава МИД России Сергей Лавров прибыл в индийский штат Гоа. Он примет участие в заседании Совета министров иностранных дел государств - членов Шанхайской организации сотрудничества (ШОС);▫️Возгорание резервуара с нефтепродуктами на Ильском НПЗ в Краснодарском крае полностью ликвидировано;▫️Венесуэла осудила ""гнусное покушение"" на Владимира Путина;▫️Большинство британцев выступили против трат на коронацию Карла III.@rgrunews",nan,nan,2023-05-04T05:26:26+00:00,rgrunews,nan,nan,nan,30.9K,2023-05-04 5:26:26,Authoritarian - Alliances,No Category,No Category,Russia,AUT_LABEL,Authoritarian - Alliances,"Here are some breaking news: Russia will respond to Ukraine's brazen and presumptuous terrorist attack when it deems necessary, Russian Ambassador to the United States Anatoly Antonov stated. Deputy Foreign Minister Mikhail Galuzin warned Kyiv and its Western curators about the dire consequences of the announced counteroffensive. Russian Foreign Minister Sergey Lavrov arrived in the Indian state of Goa. He will participate in a meeting of the Council of Foreign Ministers of the Shanghai Cooperation Organization (SCO). A fire in an oil tank at the Ilsky Oil Refinery in the Krasnodar Territory has been completely extinguished. Venezuela condemned the ""vile assassination attempt"" on Vladimir Putin. The majority of Britons opposed the coronation of Charles III. @rgrunews",Y,Y,,
t.me/RusBotWien_RU,RF_Diplomats,Посольство в Австрии 🇷🇺 ✔,https://t.me/RusBotWien_RU/424?embed=1,"Дипломатические миссии Армении, Беларуси, Казахстана, Кыргызстана, России, Таджикистана, Туркменистана и Узбекистана в Вене готовятся вместе отпраздновать #ДеньПобеды #9Мая. 🔴 Всех с праздником! #ПобедаОднаНаВсех",nan,nan,2018-05-09T07:27:32+00:00,RusBotWien_RU,nan,nan,nan,94,2018-05-09 7:27:32,Authoritarian - Alliances,No Category,No Category,Russia,AUT_LABEL,Authoritarian - Alliances,"The diplomatic missions of Armenia, Belarus, Kazakhstan, Kyrgyzstan, Russia, Tajikistan, Turkmenistan, and Uzbekistan in Vienna are preparing to celebrate #VictoryDay #May9 together. 🔴 Happy Victory Day everyone! #VictoryIsOneForAll",Y,Y,,
facebook.com/ambrus.senegal,RF_Diplomats,nan,https://www.facebook.com/post/1714234229466070/,"🇷🇺🇦🇿🇦🇲 Vladimir Poutine a reçu les dirigeants arménien et azerbaïdjanais à Moscou pour discuter de l'avenir du Haut-Karabagh. «La situation est maintenant calme dans la région», a estimé le président russe.
⬇⬇⬇
https://francais.rt.com/international/82634-haut-karabagh-dirigeants-darmenie-dazerbaidjan-rencontrent-moscou/amp?__twitter_impression=true",nan,nan,2021-01-12T08:37:59+00:00,ambrus.senegal,nan,3,0,181,2021-01-12 8:37:59,Authoritarian - Alliances,No Category,No Category,Russia,AUT_LABEL,Authoritarian - Alliances,"🇷🇺🇦🇿🇦🇲 Vladimir Putin hosted the Armenian and Azerbaijani leaders in Moscow to discuss the future of Nagorno-Karabakh. ""The situation is now calm in the region,"" the Russian president stated.

⬇⬇⬇
https://francais.rt.com/international/82634-haut-karabagh-dirigeants-darmenie-dazerbaidjan-rencontrent-moscou/amp?__twitter_impression=true",Y,Y,,
instagram.com/amb_rus_burundi,RF_Diplomats,nan,https://www.instagram.com/p/post/1372198630593952/,"Le Président de la République du Burundi, Evariste Ndayishimiye, a félicité l’actuel Président de la Fédération de Russie, Vladimir Poutine, pour sa réélection aux élections présidentielles",nan,photo,2024-03-19T06:23:28+00:00,amb_rus_burundi,nan,23,0,456,2024-03-19 6:23:28,Authoritarian - Alliances,Democracy - Elections,No Category,Russia,AUT_LABEL,Authoritarian - Alliances,"The President of the Republic of Burundi, Evariste Ndayishimiye, congratulated the current President of the Russian Federation, Vladimir Putin, on his re-election in the presidential elections.",Y,Y,,
t.me/ambrusmaroc,RF_Diplomats,Ambassade de Russie au Maroc / Посольство России в Марокко,https://t.me/ambrusmaroc/162?embed=1,"🇧🇷🇷🇺🇮🇳🇨🇳🇿🇦 President of Russia Vladimir Putin took part in the 14th BRICS Summit, held via videoconference and chaired by China.💬 President Putin: The BRICS format has been consistently increasing its prestige and international influence. This is an objective process, since the five BRICS countries, as we all know, have immense political, economic, scientific, technical and human potential. We have everything we need to work together and achieve results for ensuring global stability and security, sustained growth and prosperity, and better well-being for our people.I believe that the topic of today’s meeting, Foster High-Quality BRICS Partnership, Usher in a New Era for Global Development, is very relevant. Considering the complexity of the challenges and threats the international community is facing, and the fact that they transcend borders, we need to come up with collective solutions.👉 The Beijing Declaration of the 14th BRICS Summit formalises the key agreements of the meeting.",https://cdn4.cdn-telegram.org/file/Rz765fRS7jof2ftGOtDoYwGMGR1aWh_fwrBbb-us-WxqZO0_ch3o_q9oR79jeCAuN6gM5v1lopK95x1ZKvxXBjThX71Gptb6SiuiLLUBnFK8McZnEDu2or_d4X3G07mQojA4BFrToh37CTglEcZmI_wcEvI4v3SRUzvHvYpSrFx4TKt6K7GbcuG4GdwpRUkA9dpo4xT9Wt9vLsoBpUXH5L-BR1sSKFyGW31T0eKSYsTrL_b0F3NsWMfPjnFojQiVQc0izdRmG4AFCjTIeRcSLSgezCsKP1kMs-3Gc7WNq7Ikp3a9ub3RwBeeYxn1q0UYC4-P9R-3QApThUeI5ia8jA.jpg,nan,2022-06-23T19:32:49+00:00,ambrusmaroc,nan,nan,nan,200,2022-06-23 19:32:49,Authoritarian - Alliances,No Category,Hostile Global Order,Other,AUT_LABEL,Authoritarian - Alliances,"🇧🇷🇷🇺🇮🇳🇨🇳🇿🇦 President of Russia Vladimir Putin took part in the 14th BRICS Summit, held via videoconference and chaired by China.💬 President Putin: The BRICS format has been consistently increasing its prestige and international influence. This is an objective process, since the five BRICS countries, as we all know, have immense political, economic, scientific, technical and human potential. We have everything we need to work together and achieve results for ensuring global stability and security, sustained growth and prosperity, and better well-being for our people.I believe that the topic of today’s meeting, Foster High-Quality BRICS Partnership, Usher in a New Era for Global Development, is very relevant. Considering the complexity of the challenges and threats the international community is facing, and the fact that they transcend borders, we need to come up with collective solutions.👉 The Beijing Declaration of the 14th BRICS Summit formalises the key agreements of the meeting.",Y,Y,,
t.me/riakatysha,RF_Media,РИА КАТЮША,https://t.me/riakatysha/13336?embed=1,"📌❗️⚡️ Реакция 05.02.2022 Си и Путин. Игра в одни воротаВизит Владимира Путина в Китай, его совместные с другом Си антиштатовские заявления и одинокое сидение в вип-ложе стадиона в Пекине на фоне одетых в намордники спортсменов без гимна и флага могут показаться дипломатической победой России разве что комментаторам Первого канала. На самом деле нас просто используют –и нашу великую музыку, и визуальные образы, и спортсменов и даже президента с его нефтяным и цифровым санчо-пансами Сечиным и Чернышенко. Тоже самое можно сказать и про подписанное Путиным и Си «Заявление о международных отношениях новой эпохи», сплошь полное швабовскими штампами, ритуальными поклонами в сторону ООН и ВТО и странными заявлениями что Россия и Китай уже 1000 лет являются светочами демократии в мире.✅ Подробнее: http://katyusha.org/view?id=18182",nan,nan,2022-02-05T05:05:27+00:00,riakatysha,nan,nan,nan,7.3K,2022-02-05 5:05:27,Authoritarian - Alliances,No Category,Hostile Global Order,China,AUT_LABEL,Authoritarian - Alliances,"📌❗️⚡️ Reaction 05.02.2022 Xi and Putin. A one-sided game. Vladimir Putin's visit to China, his joint anti-US statements with his friend Xi, and his solitary seat in a VIP box at a Beijing stadium, surrounded by muzzled athletes without an anthem or flag, might seem like a diplomatic victory for Russia only to Channel One commentators. In reality, they're simply using us—our great music, our visual imagery, our athletes, and even the president with his oil and digital Sancho Pans, Sechin and Chernyshenko. The same can be said about the ""Statement on International Relations in a New Era"" signed by Putin and Xi, which is full of Schwabian clichés, ritual bows to the UN and the WTO, and strange statements about Russia and China having been beacons of democracy in the world for 1,000 years. ✅ Read more: http://katyusha.org/view?id=18182",Y,Y,,
facebook.com/RusEmbAu,RF_Diplomats,nan,https://www.facebook.com/post/727699843017491/,"🇷🇺🇿🇦 Vladimir Putin had a telephone conversation with President of the Republic of South Africa Cyril Ramaphosa at the South African side’s initiative

🔸The presidents discussed topical issues of Russian-South African relations of strategic partnership. They expressed a desire to further step up mutually beneficial ties in various areas.

🔸The presidents noted the importance of further close, bilateral coordination of positions during preparations for major multilateral events, in particular, the Second Russia-Africa Summit scheduled for July in St Petersburg and the BRICS Summit in Johannesburg in August under South Africa’s Presidency.

🔸During the discussion of global food security, Vladimir Putin reaffirmed Russia’s willingness to supply needy African countries with substantial amounts of grain and fertiliser, including no-cost deliveries.

🔸Having supported Cyril Ramaphosa’s idea on the participation of a group of African leaders in discussing the prospects for settling the conflict in Ukraine, Vladimir Putin set forth his principled assessments of the destructive line pursued by the Kiev regime and its patrons. He noted that Russia has never refused to work on the diplomatic track.

🔸It was agreed to continue contacts at various levels.",nan,photo,2023-05-12T23:54:48+00:00,RusEmbAu,nan,47,12,1143,2023-05-12 23:54:48,Authoritarian - Alliances,No Category,No Category,Russia,AUT_LABEL,Authoritarian - Alliances,"🇷🇺🇿🇦 Vladimir Putin had a telephone conversation with President of the Republic of South Africa Cyril Ramaphosa at the South African side’s initiative

🔸The presidents discussed topical issues of Russian-South African relations of strategic partnership. They expressed a desire to further step up mutually beneficial ties in various areas.

🔸The presidents noted the importance of further close, bilateral coordination of positions during preparations for major multilateral events, in particular, the Second Russia-Africa Summit scheduled for July in St Petersburg and the BRICS Summit in Johannesburg in August under South Africa’s Presidency.

🔸During the discussion of global food security, Vladimir Putin reaffirmed Russia’s willingness to supply needy African countries with substantial amounts of grain and fertiliser, including no-cost deliveries.

🔸Having supported Cyril Ramaphosa’s idea on the participation of a group of African leaders in discussing the prospects for settling the conflict in Ukraine, Vladimir Putin set forth his principled assessments of the destructive line pursued by the Kiev regime and its patrons. He noted that Russia has never refused to work on the diplomatic track.

🔸It was agreed to continue contacts at various levels.",Y,Y,,
t.me/rusembchina,RF_Diplomats,🇷🇺🇨🇳 Посольство России в Китае,https://t.me/rusembchina/2671?embed=1,"Российская делегация во главе со Спецпредставителем Президента Российской Федерации по международному культурному сотрудничеству М.Е.Швыдким посетила Пекин с 29 января по 1 февраля для обсуждения с руководителями ряда китайских министерств и ведомств перспектив российско-китайского культурно-гуманитарного сотрудничества.В рамках визита состоялись предметные беседы М.Е.Швыдкого с директором музея Гугун Ван Сюйдуном, заместителем руководителя Главного государственного управления КНР по телевидению и радиовещанию Ян Гожуем, заместителем генерального директора Медиакорпорации Китая Син Бо. Стороны обменялись мнениями о совместных мероприятиях в рамках Годов культуры между Россией и Китаем (2024-2025 гг.). На встрече с Генеральным секретарем ШОС Чжан Мином (М.Е.Швыдкой является Послом доброй воли Организации) обсуждались практические шаги по наращиванию культурно-гуманитарного сотрудничества по линии ШОС.Особый акцент в ходе встреч был сделан на подготовке к международному конкурсу песни «Интервидение», который состоится в Москве.М.Е.Швыдкой также посетил Пекинскую Академию танца, где встретился с руководством и студентами высшего хореографического учебного заведения Китая и поприсутствовал на концерте, подготовленном учащимися младших и старших курсов Академии.https://t.me/rusembchina/2667",nan,nan,2024-02-02T11:51:42+00:00,rusembchina,nan,nan,nan,1.6K,2024-02-02 11:51:42,Authoritarian - Alliances,No Category,No Category,Russia,AUT_LABEL,Authoritarian - Alliances,"A Russian delegation led by Mikhail Shvydkoy, Special Representative of the President of the Russian Federation for International Cultural Cooperation, visited Beijing from January 29 to February 1 to discuss prospects for Russian-Chinese cultural and humanitarian cooperation with the heads of several Chinese ministries and agencies. During the visit, Shvydkoy held substantive discussions with Wang Xudong, Director of the Palace Museum of the People's Republic of China; Yang Guorui, Deputy Director General of the General Administration of Television and Radio Broadcasting; and Xing Bo, Deputy Director General of China Media Corporation. The parties exchanged views on joint events as part of the Years of Culture between Russia and China (2024-2025). At a meeting with SCO Secretary-General Zhang Ming (M.E. Shvydkoy is the Organization's Goodwill Ambassador), practical steps to expand cultural and humanitarian cooperation within the SCO were discussed. Particular emphasis was placed on preparations for the Intervision International Song Contest, which will be held in Moscow. M.E. Shvydkoy also visited the Beijing Dance Academy, where he met with the leadership and students of China's highest choreographic educational institution and attended a concert prepared by junior and senior students of the Academy. https://t.me/rusembchina/2667",Y,Y,,
t.me/rusembjp,RF_Diplomats,🇷🇺🇯🇵 Embassy of Russia in Japan,https://t.me/rusembjp/1371?embed=1,"О презентации Союзного государства  Белоруссии и России в Японии🇷🇺🇧🇾21 апреля с.г. в Посольстве России в Токио состоялся торжественный вечер «Союзное государство Белоруссии и России: широкие возможности для сотрудничества с Японией», организованный российской и белорусской дипмиссиями в связи с отмечавшимся 2 апреля Днём единения народов Белоруссии и России.    Среди гостей были послы и дипломатические сотрудники посольств Азербайджана, Армении, Казахстана, Киргизии и Туркменистана.  💬С большим вниманием и глубоким интересом собравшиеся выслушали видеообращение, которое направил участникам форума Государственный секретарь Союзного государства Д.Ф.Мезенцев, подчеркнувший значимость мероприятия как важного шага для упрочнения отношений Японии с Белоруссией и Россией.  💬С приветственными словами выступили 🇧🇾Посол Белоруссии Р.О.Есин и 🇷🇺Посол России М.Ю.Галузин. Читайте далее",https://cdn4.cdn-telegram.org/file/rWN401K0vmlQNgJEtYXeK7STs7yLo3LXkVnrslmI9byhAVlalNEYSRsYG_gcaIfdxFaCeNMCfgHN-oo-GbRdynQfAGlzb9hLNa3Y1tCb7IhC0daC4mbGs3wxpivzvgeLAJPIZi6MqmbFNIvflrOPrB69_S5jC9UQWF7mtB0Xl00hRCL6KBHuBayBZptUlWHeHRMLu90qIX3QLVdPYY3NSJd5HRCZXRrskr9npQDm7uozYPNNXotr-MNrRPfxZk59FK-PIR4lPHXNBAJRqbxCKUhkgPoXm_wfRwGEgUkfvXDOpnD2kO9AL6WVPql6dUetXaRkQ0eR0HniflVkz7Z9zQ.jpg,nan,2022-04-22T08:14:40+00:00,rusembjp,nan,nan,nan,1.3K,2022-04-22 8:14:40,Authoritarian - Alliances,No Category,No Category,Russia,AUT_LABEL,Authoritarian - Alliances,"On the presentation of the Union State of Belarus and Russia in Japan🇷🇺🇧🇾On April 21, the Russian Embassy in Tokyo hosted a gala evening entitled ""The Union State of Belarus and Russia: Broad Opportunities for Cooperation with Japan."" The event was organized by the Russian and Belarusian diplomatic missions in connection with the Day of Unity of the Peoples of Belarus and Russia, celebrated on April 2. Among the guests were ambassadors and diplomatic staff from the embassies of Azerbaijan, Armenia, Kazakhstan, Kyrgyzstan, and Turkmenistan. 💬With great attention and deep interest, those gathered listened to a video message sent to the forum participants by State Secretary of the Union State D.F. Mezentsev, who emphasized the significance of the event as an important step in strengthening relations between Japan, Belarus, and Russia. 💬Welcoming remarks were delivered by 🇧🇾Ambassador of Belarus R.O. Yesin and 🇷🇺Ambassador of Russia M.Yu. Galuzin. Read more",Y,Y,,
